ArrayType,Size,Algorithm,TimeMicroseconds,Threshold
Reversed,4700,HybridSort,386,10
AlmostSorted,4700,HybridSort,316,10
Random,4700,HybridSort,525,20
Reversed,4700,HybridSort,374,20
AlmostSorted,4700,HybridSort,254,20
Random,4700,HybridSort,538,30
Reversed,4700,HybridSort,507,30
AlmostSorted,4700,HybridSort,276,30
Random,4700,HybridSort,603,50
Reversed,4700,HybridSort,516,50
AlmostSorted,4700,HybridSort,251,50
Random,4800,MergeSort,1332,0
Reversed,4800,MergeSort,925,0
AlmostSorted,4800,MergeSort,925,0
Random,4800,HybridSort,1015,5
Reversed,4800,HybridSort,801,5
AlmostSorted,4800,HybridSort,437,5
Random,4800,HybridSort,666,10
Reversed,4800,HybridSort,445,10
AlmostSorted,4800,HybridSort,338,10
Random,4800,HybridSort,570,20
Reversed,4800,HybridSort,421,20
AlmostSorted,4800,HybridSort,331,20
Random,4800,HybridSort,615,30
Reversed,4800,HybridSort,397,30
AlmostSorted,4800,HybridSort,294,30
Random,4800,HybridSort,543,50
Reversed,4800,HybridSort,509,50
AlmostSorted,4800,HybridSort,198,50
Random,4900,MergeSort,1112,0
Reversed,4900,MergeSort,853,0
AlmostSorted,4900,MergeSort,828,0
Random,4900,HybridSort,717,5
Reversed,4900,HybridSort,457,5
AlmostSorted,4900,HybridSort,460,5
Random,4900,HybridSort,786,10
Reversed,4900,HybridSort,509,10
AlmostSorted,4900,HybridSort,400,10
Random,4900,HybridSort,691,20
Reversed,4900,HybridSort,466,20
AlmostSorted,4900,HybridSort,316,20
Random,4900,HybridSort,645,30
Reversed,4900,HybridSort,443,30
AlmostSorted,4900,HybridSort,298,30
Random,4900,HybridSort,714,50
Reversed,4900,HybridSort,545,50
AlmostSorted,4900,HybridSort,256,50
Random,5000,MergeSort,1367,0
Reversed,5000,MergeSort,932,0
AlmostSorted,5000,MergeSort,921,0
Random,5000,HybridSort,744,5
Reversed,5000,HybridSort,484,5
AlmostSorted,5000,HybridSort,453,5
Random,5000,HybridSort,653,10
Reversed,5000,HybridSort,446,10
AlmostSorted,5000,HybridSort,370,10
Random,5000,HybridSort,634,20
Reversed,5000,HybridSort,480,20
AlmostSorted,5000,HybridSort,361,20
Random,5000,HybridSort,652,30
Reversed,5000,HybridSort,469,30
AlmostSorted,5000,HybridSort,298,30
Random,5000,HybridSort,1209,50
Reversed,5000,HybridSort,499,50
AlmostSorted,5000,HybridSort,231,50
Random,5100,MergeSort,1187,0
Reversed,5100,MergeSort,821,0
AlmostSorted,5100,MergeSort,844,0
Random,5100,HybridSort,747,5
Reversed,5100,HybridSort,482,5
AlmostSorted,5100,HybridSort,530,5
Random,5100,HybridSort,1455,10
Reversed,5100,HybridSort,799,10
AlmostSorted,5100,HybridSort,453,10
Random,5100,HybridSort,770,20
Reversed,5100,HybridSort,483,20
AlmostSorted,5100,HybridSort,309,20
Random,5100,HybridSort,645,30
Reversed,5100,HybridSort,461,30
AlmostSorted,5100,HybridSort,301,30
Random,5100,HybridSort,627,50
Reversed,5100,HybridSort,502,50
AlmostSorted,5100,HybridSort,227,50
Random,5200,MergeSort,1268,0
Reversed,5200,MergeSort,943,0
AlmostSorted,5200,MergeSort,969,0
Random,5200,HybridSort,894,5
Reversed,5200,HybridSort,479,5
AlmostSorted,5200,HybridSort,454,5
Random,5200,HybridSort,743,10
Reversed,5200,HybridSort,440,10
AlmostSorted,5200,HybridSort,331,10
Random,5200,HybridSort,604,20
Reversed,5200,HybridSort,423,20
AlmostSorted,5200,HybridSort,284,20
Random,5200,HybridSort,581,30
Reversed,5200,HybridSort,397,30
AlmostSorted,5200,HybridSort,286,30
Random,5200,HybridSort,615,50
Reversed,5200,HybridSort,701,50
AlmostSorted,5200,HybridSort,248,50
Random,5300,MergeSort,1384,0
Reversed,5300,MergeSort,902,0
AlmostSorted,5300,MergeSort,935,0
Random,5300,HybridSort,1293,5
Reversed,5300,HybridSort,920,5
AlmostSorted,5300,HybridSort,443,5
Random,5300,HybridSort,690,10
Reversed,5300,HybridSort,407,10
AlmostSorted,5300,HybridSort,351,10
Random,5300,HybridSort,642,20
Reversed,5300,HybridSort,458,20
AlmostSorted,5300,HybridSort,385,20
Random,5300,HybridSort,833,30
Reversed,5300,HybridSort,613,30
AlmostSorted,5300,HybridSort,820,30
Random,5300,HybridSort,759,50
Reversed,5300,HybridSort,659,50
AlmostSorted,5300,HybridSort,276,50
Random,5400,MergeSort,1498,0
Reversed,5400,MergeSort,1104,0
AlmostSorted,5400,MergeSort,1147,0
Random,5400,HybridSort,889,5
Reversed,5400,HybridSort,490,5
AlmostSorted,5400,HybridSort,1123,5
Random,5400,HybridSort,693,10
Reversed,5400,HybridSort,432,10
AlmostSorted,5400,HybridSort,384,10
Random,5400,HybridSort,645,20
Reversed,5400,HybridSort,416,20
AlmostSorted,5400,HybridSort,335,20
Random,5400,HybridSort,668,30
Reversed,5400,HybridSort,486,30
AlmostSorted,5400,HybridSort,292,30
Random,5400,HybridSort,686,50
Reversed,5400,HybridSort,841,50
AlmostSorted,5400,HybridSort,273,50
Random,5500,MergeSort,1573,0
Reversed,5500,MergeSort,1170,0
AlmostSorted,5500,MergeSort,1010,0
Random,5500,HybridSort,965,5
Reversed,5500,HybridSort,1154,5
AlmostSorted,5500,HybridSort,668,5
Random,5500,HybridSort,961,10
Reversed,5500,HybridSort,541,10
AlmostSorted,5500,HybridSort,453,10
Random,5500,HybridSort,772,20
Reversed,5500,HybridSort,513,20
AlmostSorted,5500,HybridSort,367,20
Random,5500,HybridSort,638,30
Reversed,5500,HybridSort,453,30
AlmostSorted,5500,HybridSort,281,30
Random,5500,HybridSort,1140,50
Reversed,5500,HybridSort,1085,50
AlmostSorted,5500,HybridSort,231,50
Random,5600,MergeSort,1358,0
Reversed,5600,MergeSort,1033,0
AlmostSorted,5600,MergeSort,1003,0
Random,5600,HybridSort,1058,5
Reversed,5600,HybridSort,875,5
AlmostSorted,5600,HybridSort,570,5
Random,5600,HybridSort,970,10
Reversed,5600,HybridSort,450,10
AlmostSorted,5600,HybridSort,482,10
Random,5600,HybridSort,702,20
Reversed,5600,HybridSort,427,20
AlmostSorted,5600,HybridSort,348,20
Random,5600,HybridSort,627,30
Reversed,5600,HybridSort,474,30
AlmostSorted,5600,HybridSort,295,30
Random,5600,HybridSort,899,50
Reversed,5600,HybridSort,657,50
AlmostSorted,5600,HybridSort,362,50
Random,5700,MergeSort,1935,0
Reversed,5700,MergeSort,1126,0
AlmostSorted,5700,MergeSort,1191,0
Random,5700,HybridSort,1023,5
Reversed,5700,HybridSort,1035,5
AlmostSorted,5700,HybridSort,783,5
Random,5700,HybridSort,869,10
Reversed,5700,HybridSort,542,10
AlmostSorted,5700,HybridSort,573,10
Random,5700,HybridSort,777,20
Reversed,5700,HybridSort,524,20
AlmostSorted,5700,HybridSort,399,20
Random,5700,HybridSort,660,30
Reversed,5700,HybridSort,451,30
AlmostSorted,5700,HybridSort,286,30
Random,5700,HybridSort,644,50
Reversed,5700,HybridSort,587,50
AlmostSorted,5700,HybridSort,290,50
Random,5800,MergeSort,1316,0
Reversed,5800,MergeSort,1018,0
AlmostSorted,5800,MergeSort,1022,0
Random,5800,HybridSort,1007,5
Reversed,5800,HybridSort,631,5
AlmostSorted,5800,HybridSort,1031,5
Random,5800,HybridSort,1252,10
Reversed,5800,HybridSort,483,10
AlmostSorted,5800,HybridSort,455,10
Random,5800,HybridSort,760,20
Reversed,5800,HybridSort,454,20
AlmostSorted,5800,HybridSort,382,20
Random,5800,HybridSort,706,30
Reversed,5800,HybridSort,497,30
AlmostSorted,5800,HybridSort,354,30
Random,5800,HybridSort,1333,50
Reversed,5800,HybridSort,969,50
AlmostSorted,5800,HybridSort,529,50
Random,5900,MergeSort,1616,0
Reversed,5900,MergeSort,1173,0
AlmostSorted,5900,MergeSort,1175,0
Random,5900,HybridSort,1498,5
Reversed,5900,HybridSort,659,5
AlmostSorted,5900,HybridSort,1187,5
Random,5900,HybridSort,907,10
Reversed,5900,HybridSort,518,10
AlmostSorted,5900,HybridSort,528,10
Random,5900,HybridSort,815,20
Reversed,5900,HybridSort,532,20
AlmostSorted,5900,HybridSort,422,20
Random,5900,HybridSort,1205,30
Reversed,5900,HybridSort,624,30
AlmostSorted,5900,HybridSort,772,30
Random,5900,HybridSort,782,50
Reversed,5900,HybridSort,697,50
AlmostSorted,5900,HybridSort,282,50
Random,6000,MergeSort,1577,0
Reversed,6000,MergeSort,1134,0
AlmostSorted,6000,MergeSort,1744,0
Random,6000,HybridSort,1342,5
Reversed,6000,HybridSort,592,5
AlmostSorted,6000,HybridSort,704,5
Random,6000,HybridSort,822,10
Reversed,6000,HybridSort,485,10
AlmostSorted,6000,HybridSort,477,10
Random,6000,HybridSort,752,20
Reversed,6000,HybridSort,921,20
AlmostSorted,6000,HybridSort,389,20
Random,6000,HybridSort,1270,30
Reversed,6000,HybridSort,630,30
AlmostSorted,6000,HybridSort,424,30
Random,6000,HybridSort,974,50
Reversed,6000,HybridSort,724,50
AlmostSorted,6000,HybridSort,261,50
Random,6100,MergeSort,1951,0
Reversed,6100,MergeSort,1465,0
AlmostSorted,6100,MergeSort,1230,0
Random,6100,HybridSort,1019,5
Reversed,6100,HybridSort,608,5
AlmostSorted,6100,HybridSort,626,5
Random,6100,HybridSort,845,10
Reversed,6100,HybridSort,515,10
AlmostSorted,6100,HybridSort,474,10
Random,6100,HybridSort,812,20
Reversed,6100,HybridSort,464,20
AlmostSorted,6100,HybridSort,365,20
Random,6100,HybridSort,728,30
Reversed,6100,HybridSort,579,30
AlmostSorted,6100,HybridSort,346,30
Random,6100,HybridSort,858,50
Reversed,6100,HybridSort,675,50
AlmostSorted,6100,HybridSort,274,50
Random,6200,MergeSort,1869,0
Reversed,6200,MergeSort,1550,0
AlmostSorted,6200,MergeSort,1130,0
Random,6200,HybridSort,1081,5
Reversed,6200,HybridSort,678,5
AlmostSorted,6200,HybridSort,714,5
Random,6200,HybridSort,1486,10
Reversed,6200,HybridSort,591,10
AlmostSorted,6200,HybridSort,522,10
Random,6200,HybridSort,851,20
Reversed,6200,HybridSort,557,20
AlmostSorted,6200,HybridSort,451,20
Random,6200,HybridSort,834,30
Reversed,6200,HybridSort,617,30
AlmostSorted,6200,HybridSort,366,30
Random,6200,HybridSort,846,50
Reversed,6200,HybridSort,1150,50
AlmostSorted,6200,HybridSort,325,50
Random,6300,MergeSort,2072,0
Reversed,6300,MergeSort,1307,0
AlmostSorted,6300,MergeSort,1166,0
Random,6300,HybridSort,1085,5
Reversed,6300,HybridSort,1180,5
AlmostSorted,6300,HybridSort,1191,5
Random,6300,HybridSort,1026,10
Reversed,6300,HybridSort,583,10
AlmostSorted,6300,HybridSort,530,10
Random,6300,HybridSort,898,20
Reversed,6300,HybridSort,532,20
AlmostSorted,6300,HybridSort,428,20
Random,6300,HybridSort,824,30
Reversed,6300,HybridSort,943,30
AlmostSorted,6300,HybridSort,854,30
Random,6300,HybridSort,817,50
Reversed,6300,HybridSort,742,50
AlmostSorted,6300,HybridSort,295,50
Random,6400,MergeSort,1760,0
Reversed,6400,MergeSort,1702,0
AlmostSorted,6400,MergeSort,1868,0
Random,6400,HybridSort,1107,5
Reversed,6400,HybridSort,752,5
AlmostSorted,6400,HybridSort,629,5
Random,6400,HybridSort,857,10
Reversed,6400,HybridSort,490,10
AlmostSorted,6400,HybridSort,470,10
Random,6400,HybridSort,753,20
Reversed,6400,HybridSort,473,20
AlmostSorted,6400,HybridSort,462,20
Random,6400,HybridSort,1224,30
Reversed,6400,HybridSort,623,30
AlmostSorted,6400,HybridSort,319,30
Random,6400,HybridSort,779,50
Reversed,6400,HybridSort,698,50
AlmostSorted,6400,HybridSort,274,50
Random,6500,MergeSort,2005,0
Reversed,6500,MergeSort,1502,0
AlmostSorted,6500,MergeSort,1131,0
Random,6500,HybridSort,1083,5
Reversed,6500,HybridSort,685,5
AlmostSorted,6500,HybridSort,749,5
Random,6500,HybridSort,1622,10
Reversed,6500,HybridSort,1235,10
AlmostSorted,6500,HybridSort,582,10
Random,6500,HybridSort,1103,20
Reversed,6500,HybridSort,596,20
AlmostSorted,6500,HybridSort,442,20
Random,6500,HybridSort,1052,30
Reversed,6500,HybridSort,587,30
AlmostSorted,6500,HybridSort,353,30
Random,6500,HybridSort,1084,50
Reversed,6500,HybridSort,600,50
AlmostSorted,6500,HybridSort,342,50
Random,6600,MergeSort,1559,0
Reversed,6600,MergeSort,1082,0
AlmostSorted,6600,MergeSort,1179,0
Random,6600,HybridSort,1116,5
Reversed,6600,HybridSort,671,5
AlmostSorted,6600,HybridSort,848,5
Random,6600,HybridSort,946,10
Reversed,6600,HybridSort,574,10
AlmostSorted,6600,HybridSort,644,10
Random,6600,HybridSort,871,20
Reversed,6600,HybridSort,577,20
AlmostSorted,6600,HybridSort,462,20
Random,6600,HybridSort,1194,30
Reversed,6600,HybridSort,722,30
AlmostSorted,6600,HybridSort,367,30
Random,6600,HybridSort,916,50
Reversed,6600,HybridSort,661,50
AlmostSorted,6600,HybridSort,339,50
Random,6700,MergeSort,1730,0
Reversed,6700,MergeSort,1241,0
AlmostSorted,6700,MergeSort,1355,0
Random,6700,HybridSort,1140,5
Reversed,6700,HybridSort,682,5
AlmostSorted,6700,HybridSort,734,5
Random,6700,HybridSort,967,10
Reversed,6700,HybridSort,588,10
AlmostSorted,6700,HybridSort,572,10
Random,6700,HybridSort,908,20
Reversed,6700,HybridSort,548,20
AlmostSorted,6700,HybridSort,446,20
Random,6700,HybridSort,1241,30
Reversed,6700,HybridSort,776,30
AlmostSorted,6700,HybridSort,362,30
Random,6700,HybridSort,875,50
Reversed,6700,HybridSort,656,50
AlmostSorted,6700,HybridSort,350,50
Random,6800,MergeSort,1768,0
Reversed,6800,MergeSort,1362,0
AlmostSorted,6800,MergeSort,1364,0
Random,6800,HybridSort,1263,5
Reversed,6800,HybridSort,716,5
AlmostSorted,6800,HybridSort,744,5
Random,6800,HybridSort,1128,10
Reversed,6800,HybridSort,600,10
AlmostSorted,6800,HybridSort,1024,10
Random,6800,HybridSort,1397,20
Reversed,6800,HybridSort,607,20
AlmostSorted,6800,HybridSort,424,20
Random,6800,HybridSort,796,30
Reversed,6800,HybridSort,550,30
AlmostSorted,6800,HybridSort,348,30
Random,6800,HybridSort,798,50
Reversed,6800,HybridSort,681,50
AlmostSorted,6800,HybridSort,413,50
Random,6900,MergeSort,2451,0
Reversed,6900,MergeSort,1330,0
AlmostSorted,6900,MergeSort,1242,0
Random,6900,HybridSort,1189,5
Reversed,6900,HybridSort,1124,5
AlmostSorted,6900,HybridSort,685,5
Random,6900,HybridSort,1484,10
Reversed,6900,HybridSort,608,10
AlmostSorted,6900,HybridSort,571,10
Random,6900,HybridSort,892,20
Reversed,6900,HybridSort,725,20
AlmostSorted,6900,HybridSort,510,20
Random,6900,HybridSort,1459,30
Reversed,6900,HybridSort,680,30
AlmostSorted,6900,HybridSort,840,30
Random,6900,HybridSort,892,50
Reversed,6900,HybridSort,668,50
AlmostSorted,6900,HybridSort,379,50
Random,7000,MergeSort,1833,0
Reversed,7000,MergeSort,1778,0
AlmostSorted,7000,MergeSort,1361,0
Random,7000,HybridSort,1226,5
Reversed,7000,HybridSort,672,5
AlmostSorted,7000,HybridSort,749,5
Random,7000,HybridSort,988,10
Reversed,7000,HybridSort,559,10
AlmostSorted,7000,HybridSort,964,10
Random,7000,HybridSort,887,20
Reversed,7000,HybridSort,982,20
AlmostSorted,7000,HybridSort,447,20
Random,7000,HybridSort,882,30
Reversed,7000,HybridSort,658,30
AlmostSorted,7000,HybridSort,392,30
Random,7000,HybridSort,1052,50
Reversed,7000,HybridSort,782,50
AlmostSorted,7000,HybridSort,878,50
Random,7100,MergeSort,2406,0
Reversed,7100,MergeSort,1363,0
AlmostSorted,7100,MergeSort,1357,0
Random,7100,HybridSort,1337,5
Reversed,7100,HybridSort,896,5
AlmostSorted,7100,HybridSort,752,5
Random,7100,HybridSort,1103,10
Reversed,7100,HybridSort,590,10
AlmostSorted,7100,HybridSort,535,10
Random,7100,HybridSort,859,20
Reversed,7100,HybridSort,586,20
AlmostSorted,7100,HybridSort,421,20
Random,7100,HybridSort,845,30
Reversed,7100,HybridSort,629,30
AlmostSorted,7100,HybridSort,342,30
Random,7100,HybridSort,887,50
Reversed,7100,HybridSort,693,50
AlmostSorted,7100,HybridSort,384,50
Random,7200,MergeSort,1706,0
Reversed,7200,MergeSort,1175,0
AlmostSorted,7200,MergeSort,1765,0
Random,7200,HybridSort,1635,5
Reversed,7200,HybridSort,703,5
AlmostSorted,7200,HybridSort,684,5
Random,7200,HybridSort,1041,10
Reversed,7200,HybridSort,974,10
AlmostSorted,7200,HybridSort,600,10
Random,7200,HybridSort,1469,20
Reversed,7200,HybridSort,1083,20
AlmostSorted,7200,HybridSort,442,20
Random,7200,HybridSort,872,30
Reversed,7200,HybridSort,676,30
AlmostSorted,7200,HybridSort,369,30
Random,7200,HybridSort,882,50
Reversed,7200,HybridSort,714,50
AlmostSorted,7200,HybridSort,423,50
Random,7300,MergeSort,2602,0
Reversed,7300,MergeSort,1368,0
AlmostSorted,7300,MergeSort,1325,0
Random,7300,HybridSort,1182,5
Reversed,7300,HybridSort,766,5
AlmostSorted,7300,HybridSort,1229,5
Random,7300,HybridSort,1536,10
Reversed,7300,HybridSort,680,10
AlmostSorted,7300,HybridSort,619,10
Random,7300,HybridSort,1002,20
Reversed,7300,HybridSort,675,20
AlmostSorted,7300,HybridSort,538,20
Random,7300,HybridSort,1498,30
Reversed,7300,HybridSort,1166,30
AlmostSorted,7300,HybridSort,410,30
Random,7300,HybridSort,969,50
Reversed,7300,HybridSort,742,50
AlmostSorted,7300,HybridSort,464,50
Random,7400,MergeSort,2092,0
Reversed,7400,MergeSort,2216,0
AlmostSorted,7400,MergeSort,1471,0
Random,7400,HybridSort,1268,5
Reversed,7400,HybridSort,806,5
AlmostSorted,7400,HybridSort,815,5
Random,7400,HybridSort,1678,10
Reversed,7400,HybridSort,1131,10
AlmostSorted,7400,HybridSort,739,10
Random,7400,HybridSort,1037,20
Reversed,7400,HybridSort,761,20
AlmostSorted,7400,HybridSort,499,20
Random,7400,HybridSort,1059,30
Reversed,7400,HybridSort,679,30
AlmostSorted,7400,HybridSort,538,30
Random,7400,HybridSort,902,50
Reversed,7400,HybridSort,713,50
AlmostSorted,7400,HybridSort,367,50
Random,7500,MergeSort,1870,0
Reversed,7500,MergeSort,1410,0
AlmostSorted,7500,MergeSort,1773,0
Random,7500,HybridSort,1563,5
Reversed,7500,HybridSort,708,5
AlmostSorted,7500,HybridSort,682,5
Random,7500,HybridSort,1038,10
Reversed,7500,HybridSort,747,10
AlmostSorted,7500,HybridSort,792,10
Random,7500,HybridSort,1594,20
Reversed,7500,HybridSort,1449,20
AlmostSorted,7500,HybridSort,517,20
Random,7500,HybridSort,1003,30
Reversed,7500,HybridSort,747,30
AlmostSorted,7500,HybridSort,432,30
Random,7500,HybridSort,996,50
Reversed,7500,HybridSort,1259,50
AlmostSorted,7500,HybridSort,405,50
Random,7600,MergeSort,1939,0
Reversed,7600,MergeSort,1451,0
AlmostSorted,7600,MergeSort,2023,0
Random,7600,HybridSort,1615,5
Reversed,7600,HybridSort,720,5
AlmostSorted,7600,HybridSort,723,5
Random,7600,HybridSort,1108,10
Reversed,7600,HybridSort,682,10
AlmostSorted,7600,HybridSort,617,10
Random,7600,HybridSort,1737,20
Reversed,7600,HybridSort,1026,20
AlmostSorted,7600,HybridSort,560,20
Random,7600,HybridSort,1152,30
Reversed,7600,HybridSort,789,30
AlmostSorted,7600,HybridSort,432,30
Random,7600,HybridSort,1018,50
Reversed,7600,HybridSort,733,50
AlmostSorted,7600,HybridSort,942,50
Random,7700,MergeSort,2477,0
Reversed,7700,MergeSort,1396,0
AlmostSorted,7700,MergeSort,1655,0
Random,7700,HybridSort,1546,5
Reversed,7700,HybridSort,694,5
AlmostSorted,7700,HybridSort,1123,5
Random,7700,HybridSort,1038,10
Reversed,7700,HybridSort,627,10
AlmostSorted,7700,HybridSort,632,10
Random,7700,HybridSort,1209,20
Reversed,7700,HybridSort,1272,20
AlmostSorted,7700,HybridSort,532,20
Random,7700,HybridSort,1521,30
Reversed,7700,HybridSort,776,30
AlmostSorted,7700,HybridSort,441,30
Random,7700,HybridSort,1020,50
Reversed,7700,HybridSort,815,50
AlmostSorted,7700,HybridSort,440,50
Random,7800,MergeSort,2934,0
Reversed,7800,MergeSort,1609,0
AlmostSorted,7800,MergeSort,1379,0
Random,7800,HybridSort,1218,5
Reversed,7800,HybridSort,1262,5
AlmostSorted,7800,HybridSort,1248,5
Random,7800,HybridSort,1130,10
Reversed,7800,HybridSort,694,10
AlmostSorted,7800,HybridSort,609,10
Random,7800,HybridSort,1047,20
Reversed,7800,HybridSort,805,20
AlmostSorted,7800,HybridSort,741,20
Random,7800,HybridSort,1398,30
Reversed,7800,HybridSort,846,30
AlmostSorted,7800,HybridSort,505,30
Random,7800,HybridSort,1065,50
Reversed,7800,HybridSort,815,50
AlmostSorted,7800,HybridSort,439,50
Random,7900,MergeSort,2632,0
Reversed,7900,MergeSort,2161,0
AlmostSorted,7900,MergeSort,1476,0
Random,7900,HybridSort,1430,5
Reversed,7900,HybridSort,1343,5
AlmostSorted,7900,HybridSort,1292,5
Random,7900,HybridSort,1295,10
Reversed,7900,HybridSort,849,10
AlmostSorted,7900,HybridSort,794,10
Random,7900,HybridSort,1186,20
Reversed,7900,HybridSort,2145,20
AlmostSorted,7900,HybridSort,829,20
Random,7900,HybridSort,1122,30
Reversed,7900,HybridSort,714,30
AlmostSorted,7900,HybridSort,468,30
Random,7900,HybridSort,975,50
Reversed,7900,HybridSort,732,50
AlmostSorted,7900,HybridSort,402,50
Random,8000,MergeSort,3411,0
Reversed,8000,MergeSort,1746,0
AlmostSorted,8000,MergeSort,1849,0
Random,8000,HybridSort,2177,5
Reversed,8000,HybridSort,817,5
AlmostSorted,8000,HybridSort,748,5
Random,8000,HybridSort,1226,10
Reversed,8000,HybridSort,632,10
AlmostSorted,8000,HybridSort,653,10
Random,8000,HybridSort,1002,20
Reversed,8000,HybridSort,671,20
AlmostSorted,8000,HybridSort,504,20
Random,8000,HybridSort,993,30
Reversed,8000,HybridSort,709,30
AlmostSorted,8000,HybridSort,469,30
Random,8000,HybridSort,928,50
Reversed,8000,HybridSort,725,50
AlmostSorted,8000,HybridSort,390,50
Random,8100,MergeSort,2141,0
Reversed,8100,MergeSort,1453,0
AlmostSorted,8100,MergeSort,1382,0
Random,8100,HybridSort,1258,5
Reversed,8100,HybridSort,803,5
AlmostSorted,8100,HybridSort,779,5
Random,8100,HybridSort,1202,10
Reversed,8100,HybridSort,760,10
AlmostSorted,8100,HybridSort,654,10
Random,8100,HybridSort,1144,20
Reversed,8100,HybridSort,720,20
AlmostSorted,8100,HybridSort,494,20
Random,8100,HybridSort,1064,30
Reversed,8100,HybridSort,793,30
AlmostSorted,8100,HybridSort,519,30
Random,8100,HybridSort,1066,50
Reversed,8100,HybridSort,935,50
AlmostSorted,8100,HybridSort,437,50
Random,8200,MergeSort,2186,0
Reversed,8200,MergeSort,1529,0
AlmostSorted,8200,MergeSort,1626,0
Random,8200,HybridSort,1499,5
Reversed,8200,HybridSort,961,5
AlmostSorted,8200,HybridSort,724,5
Random,8200,HybridSort,1082,10
Reversed,8200,HybridSort,670,10
AlmostSorted,8200,HybridSort,612,10
Random,8200,HybridSort,1061,20
Reversed,8200,HybridSort,836,20
AlmostSorted,8200,HybridSort,520,20
Random,8200,HybridSort,1139,30
Reversed,8200,HybridSort,756,30
AlmostSorted,8200,HybridSort,546,30
Random,8200,HybridSort,1113,50
Reversed,8200,HybridSort,913,50
AlmostSorted,8200,HybridSort,449,50
Random,8300,MergeSort,2348,0
Reversed,8300,MergeSort,1747,0
AlmostSorted,8300,MergeSort,1515,0
Random,8300,HybridSort,1750,5
Reversed,8300,HybridSort,1220,5
AlmostSorted,8300,HybridSort,755,5
Random,8300,HybridSort,1111,10
Reversed,8300,HybridSort,718,10
AlmostSorted,8300,HybridSort,625,10
Random,8300,HybridSort,1073,20
Reversed,8300,HybridSort,1196,20
AlmostSorted,8300,HybridSort,530,20
Random,8300,HybridSort,1549,30
Reversed,8300,HybridSort,745,30
AlmostSorted,8300,HybridSort,511,30
Random,8300,HybridSort,1092,50
Reversed,8300,HybridSort,881,50
AlmostSorted,8300,HybridSort,465,50
Random,8400,MergeSort,3390,0
Reversed,8400,MergeSort,1608,0
AlmostSorted,8400,MergeSort,1628,0
Random,8400,HybridSort,2404,5
Reversed,8400,HybridSort,840,5
AlmostSorted,8400,HybridSort,862,5
Random,8400,HybridSort,1309,10
Reversed,8400,HybridSort,744,10
AlmostSorted,8400,HybridSort,689,10
Random,8400,HybridSort,1506,20
Reversed,8400,HybridSort,763,20
AlmostSorted,8400,HybridSort,647,20
Random,8400,HybridSort,1066,30
Reversed,8400,HybridSort,689,30
AlmostSorted,8400,HybridSort,518,30
Random,8400,HybridSort,1008,50
Reversed,8400,HybridSort,892,50
AlmostSorted,8400,HybridSort,396,50
Random,8500,MergeSort,2026,0
Reversed,8500,MergeSort,1541,0
AlmostSorted,8500,MergeSort,1443,0
Random,8500,HybridSort,1293,5
Reversed,8500,HybridSort,1351,5
AlmostSorted,8500,HybridSort,1160,5
Random,8500,HybridSort,1241,10
Reversed,8500,HybridSort,703,10
AlmostSorted,8500,HybridSort,582,10
Random,8500,HybridSort,1027,20
Reversed,8500,HybridSort,876,20
AlmostSorted,8500,HybridSort,922,20
Random,8500,HybridSort,1451,30
Reversed,8500,HybridSort,684,30
AlmostSorted,8500,HybridSort,476,30
Random,8500,HybridSort,1093,50
Reversed,8500,HybridSort,884,50
AlmostSorted,8500,HybridSort,623,50
Random,8600,MergeSort,3846,0
Reversed,8600,MergeSort,1808,0
AlmostSorted,8600,MergeSort,1676,0
Random,8600,HybridSort,1892,5
Reversed,8600,HybridSort,1131,5
AlmostSorted,8600,HybridSort,820,5
Random,8600,HybridSort,1290,10
Reversed,8600,HybridSort,769,10
AlmostSorted,8600,HybridSort,685,10
Random,8600,HybridSort,1622,20
Reversed,8600,HybridSort,1259,20
AlmostSorted,8600,HybridSort,566,20
Random,8600,HybridSort,1168,30
Reversed,8600,HybridSort,817,30
AlmostSorted,8600,HybridSort,717,30
Random,8600,HybridSort,1202,50
Reversed,8600,HybridSort,1308,50
AlmostSorted,8600,HybridSort,465,50
Random,8700,MergeSort,2125,0
Reversed,8700,MergeSort,1519,0
AlmostSorted,8700,MergeSort,1535,0
Random,8700,HybridSort,1348,5
Reversed,8700,HybridSort,832,5
AlmostSorted,8700,HybridSort,763,5
Random,8700,HybridSort,1400,10
Reversed,8700,HybridSort,792,10
AlmostSorted,8700,HybridSort,603,10
Random,8700,HybridSort,1540,20
Reversed,8700,HybridSort,979,20
AlmostSorted,8700,HybridSort,572,20
Random,8700,HybridSort,1129,30
Reversed,8700,HybridSort,702,30
AlmostSorted,8700,HybridSort,532,30
Random,8700,HybridSort,1063,50
Reversed,8700,HybridSort,808,50
AlmostSorted,8700,HybridSort,486,50
Random,8800,MergeSort,2960,0
Reversed,8800,MergeSort,1611,0
AlmostSorted,8800,MergeSort,1850,0
Random,8800,HybridSort,2456,5
Reversed,8800,HybridSort,969,5
AlmostSorted,8800,HybridSort,875,5
Random,8800,HybridSort,1172,10
Reversed,8800,HybridSort,686,10
AlmostSorted,8800,HybridSort,611,10
Random,8800,HybridSort,1064,20
Reversed,8800,HybridSort,791,20
AlmostSorted,8800,HybridSort,600,20
Random,8800,HybridSort,1047,30
Reversed,8800,HybridSort,844,30
AlmostSorted,8800,HybridSort,508,30
Random,8800,HybridSort,1165,50
