ArrayType,Size,Algorithm,TimeMicroseconds,Threshold
Random,1300,HybridSort,117,30
Reversed,1300,HybridSort,92,30
AlmostSorted,1300,HybridSort,60,30
Random,1300,HybridSort,122,50
Reversed,1300,HybridSort,115,50
AlmostSorted,1300,HybridSort,46,50
Random,1400,MergeSort,317,0
Reversed,1400,MergeSort,240,0
AlmostSorted,1400,MergeSort,250,0
Random,1400,HybridSort,202,5
Reversed,1400,HybridSort,129,5
AlmostSorted,1400,HybridSort,128,5
Random,1400,HybridSort,179,10
Reversed,1400,HybridSort,101,10
AlmostSorted,1400,HybridSort,97,10
Random,1400,HybridSort,160,20
Reversed,1400,HybridSort,107,20
AlmostSorted,1400,HybridSort,87,20
Random,1400,HybridSort,152,30
Reversed,1400,HybridSort,115,30
AlmostSorted,1400,HybridSort,68,30
Random,1400,HybridSort,153,50
Reversed,1400,HybridSort,145,50
AlmostSorted,1400,HybridSort,54,50
Random,1500,MergeSort,384,0
Reversed,1500,MergeSort,319,0
AlmostSorted,1500,MergeSort,340,0
Random,1500,HybridSort,298,5
Reversed,1500,HybridSort,178,5
AlmostSorted,1500,HybridSort,179,5
Random,1500,HybridSort,237,10
Reversed,1500,HybridSort,138,10
AlmostSorted,1500,HybridSort,126,10
Random,1500,HybridSort,180,20
Reversed,1500,HybridSort,119,20
AlmostSorted,1500,HybridSort,534,20
Random,1500,HybridSort,166,30
Reversed,1500,HybridSort,130,30
AlmostSorted,1500,HybridSort,78,30
Random,1500,HybridSort,161,50
Reversed,1500,HybridSort,157,50
AlmostSorted,1500,HybridSort,59,50
Random,1600,MergeSort,839,0
Reversed,1600,MergeSort,281,0
AlmostSorted,1600,MergeSort,311,0
Random,1600,HybridSort,295,5
Reversed,1600,HybridSort,164,5
AlmostSorted,1600,HybridSort,166,5
Random,1600,HybridSort,215,10
Reversed,1600,HybridSort,134,10
AlmostSorted,1600,HybridSort,127,10
Random,1600,HybridSort,188,20
Reversed,1600,HybridSort,124,20
AlmostSorted,1600,HybridSort,98,20
Random,1600,HybridSort,167,30
Reversed,1600,HybridSort,131,30
AlmostSorted,1600,HybridSort,73,30
Random,1600,HybridSort,171,50
Reversed,1600,HybridSort,168,50
AlmostSorted,1600,HybridSort,60,50
Random,1700,MergeSort,408,0
Reversed,1700,MergeSort,298,0
AlmostSorted,1700,MergeSort,311,0
Random,1700,HybridSort,256,5
Reversed,1700,HybridSort,173,5
AlmostSorted,1700,HybridSort,176,5
Random,1700,HybridSort,687,10
Reversed,1700,HybridSort,129,10
AlmostSorted,1700,HybridSort,121,10
Random,1700,HybridSort,185,20
Reversed,1700,HybridSort,123,20
AlmostSorted,1700,HybridSort,96,20
Random,1700,HybridSort,188,30
Reversed,1700,HybridSort,147,30
AlmostSorted,1700,HybridSort,77,30
Random,1700,HybridSort,189,50
Reversed,1700,HybridSort,150,50
AlmostSorted,1700,HybridSort,79,50
Random,1800,MergeSort,429,0
Reversed,1800,MergeSort,328,0
AlmostSorted,1800,MergeSort,345,0
Random,1800,HybridSort,267,5
Reversed,1800,HybridSort,162,5
AlmostSorted,1800,HybridSort,168,5
Random,1800,HybridSort,220,10
Reversed,1800,HybridSort,144,10
AlmostSorted,1800,HybridSort,125,10
Random,1800,HybridSort,193,20
Reversed,1800,HybridSort,140,20
AlmostSorted,1800,HybridSort,98,20
Random,1800,HybridSort,197,30
Reversed,1800,HybridSort,148,30
AlmostSorted,1800,HybridSort,86,30
Random,1800,HybridSort,186,50
Reversed,1800,HybridSort,159,50
AlmostSorted,1800,HybridSort,82,50
Random,1900,MergeSort,465,0
Reversed,1900,MergeSort,307,0
AlmostSorted,1900,MergeSort,318,0
Random,1900,HybridSort,263,5
Reversed,1900,HybridSort,173,5
AlmostSorted,1900,HybridSort,180,5
Random,1900,HybridSort,239,10
Reversed,1900,HybridSort,157,10
AlmostSorted,1900,HybridSort,143,10
Random,1900,HybridSort,204,20
Reversed,1900,HybridSort,154,20
AlmostSorted,1900,HybridSort,113,20
Random,1900,HybridSort,215,30
Reversed,1900,HybridSort,175,30
AlmostSorted,1900,HybridSort,89,30
Random,1900,HybridSort,218,50
Reversed,1900,HybridSort,175,50
AlmostSorted,1900,HybridSort,90,50
Random,2000,MergeSort,501,0
Reversed,2000,MergeSort,388,0
AlmostSorted,2000,MergeSort,369,0
Random,2000,HybridSort,303,5
Reversed,2000,HybridSort,191,5
AlmostSorted,2000,HybridSort,188,5
Random,2000,HybridSort,258,10
Reversed,2000,HybridSort,159,10
AlmostSorted,2000,HybridSort,146,10
Random,2000,HybridSort,231,20
Reversed,2000,HybridSort,160,20
AlmostSorted,2000,HybridSort,115,20
Random,2000,HybridSort,244,30
Reversed,2000,HybridSort,165,30
AlmostSorted,2000,HybridSort,117,30
Random,2000,HybridSort,233,50
Reversed,2000,HybridSort,189,50
AlmostSorted,2000,HybridSort,93,50
Random,2100,MergeSort,550,0
Reversed,2100,MergeSort,399,0
AlmostSorted,2100,MergeSort,414,0
Random,2100,HybridSort,436,5
Reversed,2100,HybridSort,225,5
AlmostSorted,2100,HybridSort,193,5
Random,2100,HybridSort,285,10
Reversed,2100,HybridSort,168,10
AlmostSorted,2100,HybridSort,149,10
Random,2100,HybridSort,246,20
Reversed,2100,HybridSort,172,20
AlmostSorted,2100,HybridSort,232,20
Random,2100,HybridSort,259,30
Reversed,2100,HybridSort,168,30
AlmostSorted,2100,HybridSort,115,30
Random,2100,HybridSort,230,50
Reversed,2100,HybridSort,192,50
AlmostSorted,2100,HybridSort,92,50
Random,2200,MergeSort,531,0
Reversed,2200,MergeSort,385,0
AlmostSorted,2200,MergeSort,409,0
Random,2200,HybridSort,317,5
Reversed,2200,HybridSort,195,5
AlmostSorted,2200,HybridSort,229,5
Random,2200,HybridSort,276,10
Reversed,2200,HybridSort,174,10
AlmostSorted,2200,HybridSort,153,10
Random,2200,HybridSort,248,20
Reversed,2200,HybridSort,174,20
AlmostSorted,2200,HybridSort,117,20
Random,2200,HybridSort,239,30
Reversed,2200,HybridSort,169,30
AlmostSorted,2200,HybridSort,122,30
Random,2200,HybridSort,232,50
Reversed,2200,HybridSort,201,50
AlmostSorted,2200,HybridSort,94,50
Random,2300,MergeSort,729,0
Reversed,2300,MergeSort,438,0
AlmostSorted,2300,MergeSort,453,0
Random,2300,HybridSort,364,5
Reversed,2300,HybridSort,196,5
AlmostSorted,2300,HybridSort,194,5
Random,2300,HybridSort,279,10
Reversed,2300,HybridSort,173,10
AlmostSorted,2300,HybridSort,152,10
Random,2300,HybridSort,249,20
Reversed,2300,HybridSort,183,20
AlmostSorted,2300,HybridSort,120,20
Random,2300,HybridSort,253,30
Reversed,2300,HybridSort,181,30
AlmostSorted,2300,HybridSort,125,30
Random,2300,HybridSort,259,50
Reversed,2300,HybridSort,220,50
AlmostSorted,2300,HybridSort,99,50
Random,2400,MergeSort,608,0
Reversed,2400,MergeSort,446,0
AlmostSorted,2400,MergeSort,460,0
Random,2400,HybridSort,366,5
Reversed,2400,HybridSort,259,5
AlmostSorted,2400,HybridSort,213,5
Random,2400,HybridSort,312,10
Reversed,2400,HybridSort,231,10
AlmostSorted,2400,HybridSort,187,10
Random,2400,HybridSort,305,20
Reversed,2400,HybridSort,271,20
AlmostSorted,2400,HybridSort,150,20
Random,2400,HybridSort,299,30
Reversed,2400,HybridSort,215,30
AlmostSorted,2400,HybridSort,157,30
Random,2400,HybridSort,322,50
Reversed,2400,HybridSort,277,50
AlmostSorted,2400,HybridSort,184,50
Random,2500,MergeSort,685,0
Reversed,2500,MergeSort,690,0
AlmostSorted,2500,MergeSort,504,0
Random,2500,HybridSort,370,5
Reversed,2500,HybridSort,225,5
AlmostSorted,2500,HybridSort,215,5
Random,2500,HybridSort,325,10
Reversed,2500,HybridSort,1049,10
AlmostSorted,2500,HybridSort,12869,10
Random,2500,HybridSort,334,20
Reversed,2500,HybridSort,669,20
AlmostSorted,2500,HybridSort,151,20
Random,2500,HybridSort,303,30
Reversed,2500,HybridSort,214,30
AlmostSorted,2500,HybridSort,137,30
Random,2500,HybridSort,339,50
Reversed,2500,HybridSort,322,50
AlmostSorted,2500,HybridSort,110,50
Random,2600,MergeSort,766,0
Reversed,2600,MergeSort,693,0
AlmostSorted,2600,MergeSort,503,0
Random,2600,HybridSort,390,5
Reversed,2600,HybridSort,230,5
AlmostSorted,2600,HybridSort,224,5
Random,2600,HybridSort,334,10
Reversed,2600,HybridSort,221,10
AlmostSorted,2600,HybridSort,181,10
Random,2600,HybridSort,310,20
Reversed,2600,HybridSort,236,20
AlmostSorted,2600,HybridSort,170,20
Random,2600,HybridSort,323,30
